ID,lat,Spaces,x,description,y:location_lat,y:location_lon,y,CycleStandLocations,y:row,northing,title,lng,easting
131,51.371384949185,2,523376,"2 cycle parking spaces"," "," ",165080,"21 Cheam Common Road",132,165080,"21 Cheam Common Road",-0.22892164847361,523376
132,51.371341183505,4,523412,"4 cycle parking spaces"," "," ",165076,"Cheam Common Road &amp;#92;/ London Road junction",133,165076,"Cheam Common Road &amp;#92;/ London Road junction",-0.22840611620097,523412
133,51.371309307649,2,523476,"2 cycle parking spaces"," "," ",165074,"508 London Road",134,165074,"508 London Road",-0.22748784300956,523476
134,51.370979165205,8,523465,"8 cycle parking spaces"," "," ",165037,"390 London Road",135,165037,"390 London Road",-0.22765863092245,523465
135,51.370803244685,4,523406,"4 cycle parking spaces"," "," ",165016,"493 London Road",136,165016,"493 London Road",-0.22851308183981,523406
136,51.370649239687,4,523453,"4 cycle parking spaces"," "," ",165000,"285 Malden Road",137,165000,"285 Malden Road",-0.22784377497501,523453
137,51.370430936372,4,523465,"4 cycle parking spaces"," "," ",164976,"275 Malden Road",138,164976,"275 Malden Road",-0.22767979988403,523465
138,51.370318144251,2,523405,"2 cycle parking spaces"," "," ",164962,"452 London Road",139,164962,"452 London Road",-0.22854617101095,523405
139,51.370229790477,2,523398,"2 cycle parking spaces"," "," ",164952,"450 London Road",140,164952,"450 London Road",-0.22865014922751,523398
140,51.368355306869,2,524082,"2 cycle parking spaces"," "," ",164760,"124 Church Hill Road",141,164760,"124 Church Hill Road",-0.21889591797917,524082
141,51.36821238297,2,524078,"2 cycle parking spaces"," "," ",164744,"141 Church Hill Road",142,164744,"141 Church Hill Road",-0.21895892875534,524078
142,51.368166608544,2,524123,"2 cycle parking spaces"," "," ",164740,"106 Church Hill Road",143,164740,"106 Church Hill Road",-0.21831422243921,524123
143,51.368118798479,2,524095,"2 cycle parking spaces"," "," ",164734,"135 Church Hill Road",144,164734,"135 Church Hill Road",-0.21871833340021,524095
144,51.367925697938,2,524115,"2 cycle parking spaces"," "," ",164713,"103 Priory Road",145,164713,"103 Priory Road",-0.21843850262815,524115
145,51.367873336099,4,524149,"4 cycle parking spaces"," "," ",164708,"131 Church Hill Road",146,164708,"131 Church Hill Road",-0.21795208459133,524149
146,51.374548303217,5,524940,"5 cycle parking spaces"," "," ",165470,"Tesco, Oldfields Road",147,165470,"Tesco, Oldfields Road",-0.20632759061759,524940
147,51.374548303217,22,524940,"22 cycle parking spaces"," "," ",165470,"Tesco, Oldfields Road",148,165470,"Tesco, Oldfields Road",-0.20632759061759,524940
148,51.367885631219,4,524175,"4 cycle parking spaces"," "," ",164710,"100 Church Hill Road",149,164710,"100 Church Hill Road",-0.21757808639018,524175
149,51.359018189484,2,526040,"2 cycle parking spaces"," "," ",163769,"2 Brighton Road",150,163769,"2 Brighton Road",-0.19113451061983,526040
150,51.35889236873,2,526040,"2 cycle parking spaces"," "," ",163755,"5 Brighton Road",151,163755,"5 Brighton Road",-0.1911394671158,526040
151,51.359248657655,4,524258,"4 cycle parking spaces"," "," ",163751,"58 The Broadway",152,163751,"58 The Broadway",-0.21672120265492,524258
152,51.358747686858,2,526044,"2 cycle parking spaces"," "," ",163739,"7 Brighton Road",153,163739,"7 Brighton Road",-0.19108771307626,526044
153,51.358697753688,2,526026,"2 cycle parking spaces"," "," ",163733,"6 Brighton Road",154,163733,"6 Brighton Road",-0.19134822057863,526026
154,51.358300987032,2,526032,"2 cycle parking spaces"," "," ",163689,"12 Brighton Road",155,163689,"12 Brighton Road",-0.19127766898214,526032
155,51.358602226024,2,524255,"2 cycle parking spaces"," "," ",163679,"27 The Broadway",156,163679,"27 The Broadway",-0.21678939692198,524255
156,51.3586434473,8,524272,"8 cycle parking spaces"," "," ",163684,"26 The Broadway",157,163684,"26 The Broadway",-0.21654362010385,524272
157,51.358197029246,4,526055,"4 cycle parking spaces"," "," ",163678,"29 Brighton Road",158,163678,"29 Brighton Road",-0.19095141017617,526055
158,51.358138774138,2,526034,"2 cycle parking spaces"," "," ",163671,"14 Brighton Road",159,163671,"14 Brighton Road",-0.19125533204281,526034
159,51.358430374187,2,524260,"2 cycle parking spaces"," "," ",163660,"25 The Broadway",160,163660,"25 The Broadway",-0.2167242543857,524260
